american-style-pancakes	美式松饼
blueberry-muffin	蓝莓麦芬
chocolate-muffin	香浓巧克力麦芬
cinnamon-swirl	旋风玉桂酥
french-butter-croissant	法式香酥可颂
french-caramel-bread	法式焦糖酥
hazelnut-croissant	层层榛子果仁酥
honey-raisin-scone	蜂蜜提子司康
oat-caramel-pudding-bread	燕麦焦糖布丁面包
premium-chocolate-croissant	香浓巧克力可颂
raisin-scone	提子干松饼
raisins-walnut-bread	核桃提子软法面包
red-bean-oats-scone	红豆燕麦松饼
whole-wheat-walnut-muffin	全麦核桃麦芬
blueberry-and-cookie-style-cheesecake	蓝莓曲奇风轻乳酪蛋糕
classic-swiss-roll-cake	经典瑞士卷
triple-dark-chocolate-cake	浓醇三重黑巧克力蛋糕
eclair	法式闪电泡芙
starbucks-coffee-tiramisu	星巴克咖啡提拉米苏蛋糕
macaron	法式马卡龙
new-york-style-creamy-cheesecake	纽约风浓郁重芝士蛋糕
cashews	腰果
shortbread	英伦风味黄油饼干
fruitnnuts	混合果仁果脯
fruit-salad	水果沙拉
lollipops	棒棒糖
waferrolls	咖啡味蛋卷
starbucks-chewing-gum	薄荷味口香糖（无糖）
Starbucks-mints	薄荷味硬糖（无糖）
avocado-and-chicken-bagel	牛油果鸡肉焙果
bacon-and-egg-croissant-bun	培根蛋可颂堡
bacon-and-egg-wrap	蜜汁培根蛋卷
beef-baguette	层层牛肉法棍 
beef-cheese-croissant	牛肉芝士可颂
caesar-chicken-wrap	凯撒鸡肉卷
chicken-panini	鸡肉芝香帕尼尼
eggs-mushroom-shrimp-wrap	炒蛋菌菇虾仁卷
ham-and-cheese-croissant	火腿芝士可颂
ham-and-double-cheese-croque-monsieur	双重芝士火腿吐司
ham-and-gouda-sandwich	高达芝士火腿星明治
pastrami-sandwich	帕斯雀牛肉三明治
roasted-french-ham-egg-sandwich	烤法式火腿鸡蛋三明治
slow-roasted-ham-cheese-ciabatta	慢烤火腿芝士恰巴特
tuna-panini	金枪鱼帕尼尼
turkey-bacon-english-muffin	火鸡培根英式麦芬
greek-flavored-yoghurt-mixed-berry	谷物组合希腊式风味酸奶（混合莓果）
greek-flavored-yoghurt-yellow-peach	谷物组合希腊式风味酸奶（黄桃）
