affogato	阿馥奇朵™
cold-brew-malt	麦芽雪冷萃™
cold-brew-float	冷萃浮乐朵™
instore-nitro-cold-brew-float	气致™冷萃浮乐朵™
cold-brew	冷萃冰咖啡
vanilla-flavor-sweet-cream-cold-brew	轻甜奶油冷萃
cold-foam-cold-brew	绵云冷萃
caffe-americano	美式咖啡（热/冷）
caffe-latte	拿铁（热/冷）
caffe-mocha	摩卡（热/冷)
cappuccino	卡布奇诺（热/冷）
caramel-macchiato	焦糖玛奇朵（热/冷）
espresso	浓缩咖啡
flat-white	馥芮白™
hazelnut-flavored-latte	榛果风味拿铁（热/冷）
vanilla-flavored-latte	香草风味拿铁（热/冷）
caramel-espresso-frappuccino	焦糖浓缩咖啡星冰乐
green-tea-frappuccino	抹茶星冰乐
mango-passion-tea	芒果西番莲果茶星冰乐
mocha-frappuccino	摩卡星冰乐
mocha-java-chip-frappuccino	摩卡可可碎片星冰乐
vanilla-flavored-cream-frappuccino-blended-beverage	香草风味星冰乐
sparkling-espresso-tonic	气炫冰山美式
triple-citrus	橙柚派对
peach-shrub-fizz	醋意桃桃
cold-brew-lemon-sour	酸柠浮冷萃
nitro-cold-brew	气致™冷萃咖啡
signature-chocolate-beverage	经典巧克力饮品（热/冷）
black-tea-latte	红茶拿铁（热/冷）
green-tea-latte	抹茶拿铁（热/冷）
iced-shaken-honey-ruby-grapefruit-black-tea	茶瓦纳™ 冰摇柚柚蜂蜜红茶
blackcurrant-raspberry	冰摇红莓黑加仑茶
iced-shaken-mango-herbal-juiced-tea	冰摇芒果花草茶
iced-shaken-peach-green-tea	茶瓦纳™冰摇桃桃乌龙茶
pear-rooibos-tea	梨光清润路芭茶
citrus-grapefruit-herbal-tea	橘香柚柚花草茶
